id,locale,alias,type,entity_id
8341,es,Estado Plurinacional de Bolivia;Bolivia,Spanish Name,1998
8342,fr,la Bolivie,French Name,1998
8343,en,BO,iso-3166-2,1998
8344,en,BOL,iso-3166-3,1998
8345,de,Bonaire,German Name,1999
8346,es,Bonaire,Spanish Name,1999
8347,fr,Bonaire,French Name,1999
8348,en,BQ,iso-3166-2,1999
8349,de,Bosnien und Herzegovina,German Name,2000
8350,es,Bosnia y Herzegovina,Spanish Name,2000
8351,fr,la Bosnie-Herzégovine;la Bosnie et Herzégovine,French Name,2000
8352,en,BA,iso-3166-2,2000
8353,en,BIH,iso-3166-3,2000
8354,de,Botswana,German Name,2001
8355,es,República de Botsuana;Botsuana,Spanish Name,2001
8356,fr,le Botswana;la République du Botswana,French Name,2001
8357,en,BW,iso-3166-2,2001
8358,en,BWA,iso-3166-3,2001
8359,de,Bouvetinsel,German Name,2002
8360,es,Isla Bouvet,Spanish Name,2002
8361,fr,Île de Bouvet,French Name,2002
8362,en,BV,iso-3166-2,2002
8363,en,BVT,iso-3166-3,2002
8364,de,Brasilien,German Name,2003
8365,es,República Federativa del Brasil;Brasil,Spanish Name,2003
8366,fr,Brésil,French Name,2003
8367,en,BR,iso-3166-2,2003
8368,en,BRA,iso-3166-3,2003
8369,de,Britisches Territorium im Indischen Ozean,German Name,2004
8370,es,Territorio Británico del Océano Índico,Spanish Name,2004
8371,fr,Territoire britannique de l'océan Indien,French Name,2004
8372,en,IO,iso-3166-2,2004
8373,en,IOT,iso-3166-3,2004
8374,de,Britische Jungferninseln,German Name,2005
8375,es,Islas Vírgenes Británicas,Spanish Name,2005
8376,fr,Îles Vierges britanniques,French Name,2005
8377,en,VG,iso-3166-2,2005
8378,en,VGB,iso-3166-3,2005
8379,de,Brunei Darussalam,German Name,2006
8380,es,Brunei Darussalam,Spanish Name,2006
8381,fr,Brunei Darussalam,French Name,2006
8382,en,BN,iso-3166-2,2006
8383,en,BRN,iso-3166-3,2006
8384,en,Brunei,abbreviation,2006
8385,de,Bulgarien,German Name,2007
8386,es,República de Bulgaria;Bulgaria,Spanish Name,2007
8387,fr,la Bulgarie;la République de Bulgarie,French Name,2007
8388,en,BG,iso-3166-2,2007
8389,en,BGR,iso-3166-3,2007
8390,de,Burkina Faso,German Name,2008
8391,es,Burkina Faso,Spanish Name,2008
8392,fr,Burkina Faso,French Name,2008
8393,en,BF,iso-3166-2,2008
8394,en,BFA,iso-3166-3,2008
8395,de,Burundi,German Name,2009
8396,es,República de Burundi;Burundi,Spanish Name,2009
8397,fr,le Burundi;la République du Burundi,French Name,2009
8398,en,BI,iso-3166-2,2009
8399,en,BDI,iso-3166-3,2009
8400,de,Kambodscha,German Name,2010
8401,es,Reino de Camboya;Camboya,Spanish Name,2010
8402,fr,le Cambodge;le Royaume du Cambodge,French Name,2010
8403,en,KH,iso-3166-2,2010
8404,en,KHM,iso-3166-3,2010
8405,de,Kamerun,German Name,2011
8406,es,República de Camerún;Camerún,Spanish Name,2011
8407,fr,le Cameroun;la République du Cameroun,French Name,2011
8408,en,CM,iso-3166-2,2011
8409,en,CMR,iso-3166-3,2011
8410,de,Kanada,German Name,2012
8411,es,Canadá,Spanish Name,2012
8412,fr,Canada,French Name,2012
8413,en,CA,iso-3166-2,2012
8414,en,CAN,iso-3166-3,2012
8415,de,Kap Verde,German Name,2013
8416,es,República de Cabo Verde;Cabo Verde,Spanish Name,2013
8417,fr,le Cap-Vert,French Name,2013
8418,en,CV,iso-3166-2,2013
8419,en,CPV,iso-3166-3,2013
8420,de,Kaimaninseln,German Name,2014
8421,es,Islas Caimán,Spanish Name,2014
8422,fr,Îles Caïmans,French Name,2014
8423,en,KY,iso-3166-2,2014
8424,en,CYM,iso-3166-3,2014
8425,de,Zentralafrikanische Republik,German Name,2015
8426,es,República Centroafricana,Spanish Name,2015
8427,fr,République centrafricaine,French Name,2015
8428,en,CF,iso-3166-2,2015
8429,en,CAF,iso-3166-3,2015
8430,de,Tschad,German Name,2016
8431,es,República de Chad;Chad,Spanish Name,2016
8432,fr,le Tchad;la République du Tchad,French Name,2016
8433,en,TD,iso-3166-2,2016
8434,en,TCD,iso-3166-3,2016
8435,de,Chile,German Name,2017
8436,es,República de Chile;Chile,Spanish Name,2017
8437,fr,Chili,French Name,2017
8438,en,CL,iso-3166-2,2017
8439,en,CHL,iso-3166-3,2017
8440,de,China,German Name,2018
8441,es,República Popular China;China,Spanish Name,2018
8442,fr,la Chine;la République populaire de Chin,French Name,2018
8443,en,CN,iso-3166-2,2018
8444,en,CHN,iso-3166-3,2018
8445,en,People's Republic of China; PRC,abbreviation,2018
8446,de,Weihnachtsinsel,German Name,2019
8447,es,Isla de Navidad,Spanish Name,2019
8448,fr,L'île de noël,French Name,2019
8449,en,CX,iso-3166-2,2019
8450,en,CXR,iso-3166-3,2019
8451,de,Kokosinseln,German Name,2020
8452,es,Islas Cocos,Spanish Name,2020
8453,fr,Îles Cocos,French Name,2020
8454,en,CC,iso-3166-2,2020
8455,en,CCK,iso-3166-3,2020
8456,de,Kolumbien,German Name,2021
8457,es,República de Colombia;Colombia,Spanish Name,2021
8458,fr,la Colombie;la République de Colombie,French Name,2021
8459,en,CO,iso-3166-2,2021
8460,en,COL,iso-3166-3,2021
8461,de,Komoren,German Name,2022
8462,es,Unión de las Comoras;Comoras,Spanish Name,2022
8463,fr,Comores,French Name,2022
8464,en,KM,iso-3166-2,2022
8465,en,COM,iso-3166-3,2022
8466,de,Kongo,German Name,2023
8467,es,Congo,Spanish Name,2023
8468,fr,Congo,French Name,2023
8469,en,CG,iso-3166-2,2023
8470,en,COG,iso-3166-3,2023
8471,de,Cookinseln,German Name,2024
8472,es,Islas Cook,Spanish Name,2024
8473,fr,les Îles Cook,French Name,2024
8474,en,CK,iso-3166-2,2024
8475,en,COK,iso-3166-3,2024
8476,de,Costa Rica,German Name,2025
8477,es,Costa Rica;República de Costa Rica,Spanish Name,2025
8478,fr,Costa Rica,French Name,2025
8479,en,CR,iso-3166-2,2025
8480,en,CRI,iso-3166-3,2025
8481,en,Republic of Costa Rica,abbreviation,2025
8482,de,Kroatien,German Name,2026
8483,es,República de Croacia;Croacia,Spanish Name,2026
8484,fr,la République de Croatie;la Croatie,French Name,2026
8485,en,HR,iso-3166-2,2026
8486,en,HRV,iso-3166-3,2026
8487,de,Kuba,German Name,2027
8488,es,República de Cuba;Cuba,Spanish Name,2027
8489,fr,la République de Cuba;Cuba,French Name,2027
8490,en,CU,iso-3166-2,2027
8491,en,CUB,iso-3166-3,2027
8492,de,Curaçao,German Name,2028
8493,es,Curaçao,Spanish Name,2028
8494,fr,Curaçao,French Name,2028
8495,en,CW,iso-3166-2,2028
8496,en,CUW,iso-3166-3,2028
8497,de,Zypern,German Name,2029
8498,es,Chipre; República de Chipre,Spanish Name,2029
8499,fr,Chypre; la République de Chypre,French Name,2029
8500,en,CY,iso-3166-2,2029
8501,en,CYP,iso-3166-3,2029
8502,en,Republic of Cyprus,abbreviation,2029
8503,de,Tschechien,German Name,2030
8504,es,República Checa,Spanish Name,2030
8505,fr,République Tchèque,French Name,2030
8506,en,CZ,iso-3166-2,2030
8507,en,CZE,iso-3166-3,2030
8508,de,Elfenbeinküste,German Name,2031
8509,es,Costa de Marfil,Spanish Name,2031
8510,fr,Côte d'Ivoire,French Name,2031
8511,en,CI,iso-3166-2,2031
8512,en,CIV,iso-3166-3,2031
8513,de,Demokratische Republik Kongo,German Name,2032
8514,es,República Democrática del Congo,Spanish Name,2032
8515,fr,République Démocratique du Congo,French Name,2032
8516,en,CD,iso-3166-2,2032
8517,en,COD,iso-3166-3,2032
8518,de,Dänemark,German Name,2033
8519,es,Reino de Dinamarca;Dinamarca,Spanish Name,2033
8520,fr,le Danemark;le Royaume du Danemark,French Name,2033
8521,en,DK,iso-3166-2,2033
8522,en,DNK,iso-3166-3,2033
8523,de,Dschibuti,German Name,2034
8524,es,República de Yibuti;Yibuti,Spanish Name,2034
8525,fr,Djibouti;la République de Djibouti,French Name,2034
8526,en,DJ,iso-3166-2,2034
8527,en,DJI,iso-3166-3,2034
8528,de,Dominica,German Name,2035
8529,es,Mancomunidad de Dominica;Dominica,Spanish Name,2035
8530,fr,la Dominique,French Name,2035
8531,en,DM,iso-3166-2,2035
8532,en,DMA,iso-3166-3,2035
8533,de,Dominikanische Republik,German Name,2036
8534,es,República Dominicana,Spanish Name,2036
8535,fr,République Dominicaine,French Name,2036
8536,en,DO,iso-3166-2,2036
8537,en,DOM,iso-3166-3,2036
8538,de,Ecuador,German Name,2037
8539,es,República del Ecuador;Ecuador,Spanish Name,2037
8540,fr,l'Équateur;la République de l'Équateur,French Name,2037
8541,en,EC,iso-3166-2,2037
8542,en,ECU,iso-3166-3,2037
8543,de,Ägypten,German Name,2038
8544,es,República Árabe de Egipto;Egipto,Spanish Name,2038
8545,fr,l'Égypte;la République arabe d'Égypt,French Name,2038
8546,en,EG,iso-3166-2,2038
8547,en,EGY,iso-3166-3,2038
8548,de,El Salvador,German Name,2039
8549,es,El Salvador,Spanish Name,2039
8550,fr,Le sauveur,French Name,2039
8551,en,SV,iso-3166-2,2039
8552,en,SLV,iso-3166-3,2039
8553,de,Äquatorialguinea,German Name,2040
8554,es,República de Guinea Ecuatorial;Guinea Ecuatorial,Spanish Name,2040
8555,fr,la Guinée équatoriale;la Guinée Équatoriale,French Name,2040
8556,en,GQ,iso-3166-2,2040
8557,en,GNQ,iso-3166-3,2040
8558,de,Eritrea,German Name,2041
8559,es,Estado de Eritrea;Eritrea,Spanish Name,2041
8560,fr,l'Érythrée;l'État d'Érythrée,French Name,2041
8561,en,ER,iso-3166-2,2041
8562,en,ERI,iso-3166-3,2041
8563,de,Estland,German Name,2042
8564,es,República de Estonia;Estonia,Spanish Name,2042
8565,fr,l'Estonie;la République d'Estonie,French Name,2042
8566,en,EE,iso-3166-2,2042
8567,en,EST,iso-3166-3,2042
8568,de,Äthiopien,German Name,2043
8569,es,República Democrática Federal de Etiopía;Etiopía,Spanish Name,2043
8570,fr,l'Éthiopie;la République démocratique fédérale d'Éthiopie,French Name,2043
8571,en,ET,iso-3166-2,2043
8572,en,ETH,iso-3166-3,2043
8573,de,Falklandinseln,German Name,2044
8574,es,Islas Malvinas,Spanish Name,2044
8575,fr,les îles Falkland,French Name,2044
8576,en,FK,iso-3166-2,2044
8577,en,FLK,iso-3166-3,2044
8578,de,Färöer;Färöer-Inseln,German Name,2045
8579,es,Islas Faroe,Spanish Name,2045
8580,fr,Îles Féroé,French Name,2045
8581,en,FO,iso-3166-2,2045
8582,en,FRO,iso-3166-3,2045
8583,de,Föderierte Staaten von Mikronesien;Mikronesien,German Name,2046
8584,es,Estados Federados de Micronesia; Micronesia,Spanish Name,2046
8585,fr,la Micronésie;la Micronésie,French Name,2046
8586,en,FM,iso-3166-2,2046
8587,en,FSM,iso-3166-3,2046
8588,en,Micronesia,abbreviation,2046
8589,de,Fidschi,German Name,2047
8590,es,República de Fiyi;Fiyi,Spanish Name,2047
8591,fr,les Fidji,French Name,2047
8592,en,FJ,iso-3166-2,2047
8593,en,FJI,iso-3166-3,2047
8594,de,Finnland,German Name,2048
8595,es,República de Finlandia;Finlandia,Spanish Name,2048
8596,fr,la Finlande;la République de Finlande,French Name,2048
8597,en,FI,iso-3166-2,2048
8598,en,FIN,iso-3166-3,2048
8599,de,Frankreich,German Name,2049
8600,es,República Francesa;Francia,Spanish Name,2049
8601,fr,la France;la République français,French Name,2049
8602,en,FR,iso-3166-2,2049
8603,en,FRA,iso-3166-3,2049
8604,de,Französisch-Guayana,German Name,2050
8605,es,Guayana Francesa,Spanish Name,2050
8606,fr,Guinée Française,French Name,2050
8607,en,GF,iso-3166-2,2050
8608,en,GUF,iso-3166-3,2050
8609,de,Französisch-Polynesien,German Name,2051
8610,es,Polinesia francés,Spanish Name,2051
8611,fr,Polynésie française,French Name,2051
8612,en,PF,iso-3166-2,2051
8613,en,PYF,iso-3166-3,2051
8614,de,Französische Süd- und Antarktisgebiete,German Name,2052
8615,es,Territorios Franceses del Sur,Spanish Name,2052
8616,fr,Territoires du Sud français,French Name,2052
8617,en,TF,iso-3166-2,2052
8618,en,ATF,iso-3166-3,2052
8619,de,Gabun,German Name,2053
8620,es,República Gabonesa;Gabón,Spanish Name,2053
8621,fr,le Gabon;la République gabonais,French Name,2053
8622,en,GA,iso-3166-2,2053
8623,en,GAB,iso-3166-3,2053
8624,de,Gambia,German Name,2054
8625,es,Gambia,Spanish Name,2054
8626,fr,Gambie,French Name,2054
8627,en,GM,iso-3166-2,2054
8628,en,GMB,iso-3166-3,2054
8629,de,Georgien,German Name,2055
8630,es,República de Georgia;Georgia,Spanish Name,2055
8631,fr,la Géorgie,French Name,2055
8632,en,GE,iso-3166-2,2055
8633,en,GEO,iso-3166-3,2055
8634,de,Deutschland,German Name,2056
8635,es,República Federal Alemana;Alemania,Spanish Name,2056
8636,fr,l'Allemagne;la République fédérale d'Allemagn,French Name,2056
8637,en,DE,iso-3166-2,2056
8638,en,DEU,iso-3166-3,2056
8639,de,Ghana,German Name,2057
8640,es,República de Ghana;Ghana,Spanish Name,2057
8641,fr,le Ghana;la République du Ghana,French Name,2057
8642,en,GH,iso-3166-2,2057
8643,en,GHA,iso-3166-3,2057
8644,de,Gibraltar,German Name,2058
8645,es,Gibraltar,Spanish Name,2058
8646,fr,Gibraltar,French Name,2058
8647,en,GI,iso-3166-2,2058
8648,en,GIB,iso-3166-3,2058
8649,de,Griechenland,German Name,2059
8650,es,República Helénica;Grecia,Spanish Name,2059
8651,fr,la Grèce;la République helléniqu,French Name,2059
8652,en,GR,iso-3166-2,2059
8653,en,GRC,iso-3166-3,2059
8654,de,Grönland,German Name,2060
8655,es,Tierra Verde,Spanish Name,2060
8656,fr,Groenland,French Name,2060
8657,en,GL,iso-3166-2,2060
8658,en,GRL,iso-3166-3,2060
8659,de,Grenada,German Name,2061
8660,es,Granada,Spanish Name,2061
8661,fr,Grenade,French Name,2061
8662,en,GD,iso-3166-2,2061
8663,en,GRD,iso-3166-3,2061
8664,de,Guadeloupe,German Name,2062
8665,es,Guadalupe,Spanish Name,2062
8666,fr,Guadeloupe,French Name,2062
8667,en,GP,iso-3166-2,2062
8668,en,GLP,iso-3166-3,2062
8669,de,Guam,German Name,2063
8670,es,Guam,Spanish Name,2063
8671,fr,Guam,French Name,2063
8672,en,GU,iso-3166-2,2063
8673,en,GUM,iso-3166-3,2063
8674,de,Guatemala,German Name,2064
8675,es,República de Guatemala;Guatemala,Spanish Name,2064
8676,fr,le Guatemala,French Name,2064
8677,en,GT,iso-3166-2,2064
8678,en,GTM,iso-3166-3,2064
8679,de,Guernsey,German Name,2065
8680,es,Guernesey,Spanish Name,2065
8681,fr,Guernesey,French Name,2065
8682,en,GG,iso-3166-2,2065
8683,en,GGY,iso-3166-3,2065
8684,de,Guinea,German Name,2066
8685,es,República de Guinea;Guinea,Spanish Name,2066
8686,fr,la Guinée;la République de Guinée,French Name,2066
8687,en,GN,iso-3166-2,2066
8688,en,GIN,iso-3166-3,2066
8689,de,Guinea-Bissau,German Name,2067
8690,es,Guinea-Bissau,Spanish Name,2067
8691,fr,la Guinée-Bissau,French Name,2067
8692,en,GW,iso-3166-2,2067
8693,en,GNB,iso-3166-3,2067
8694,de,Guyana,German Name,2068
8695,es,República Cooperativa de Guyana;Guyana,Spanish Name,2068
8696,fr,Guyane,French Name,2068
8697,en,GY,iso-3166-2,2068
8698,en,GUY,iso-3166-3,2068
8699,de,Haiti,German Name,2069
8700,es,República de Haití;Haití,Spanish Name,2069
8701,fr,Haïti;la République d'Haïti,French Name,2069
8702,en,HT,iso-3166-2,2069
8703,en,HTI,iso-3166-3,2069
8704,de,Heard und Mcdonaldinseln,German Name,2070
8705,es,Islas Heard y McDonald,Spanish Name,2070
8706,fr,Îles Heard et McDonald,French Name,2070
8707,en,HM,iso-3166-2,2070
8708,en,HMD,iso-3166-3,2070
8709,de,Heiliger Stuhl,German Name,2071
8710,es,Santa Sede,Spanish Name,2071
8711,fr,Saint-Siège,French Name,2071
8712,en,VA,iso-3166-2,2071
8713,en,VAT,iso-3166-3,2071
8714,de,Honduras,German Name,2072
8715,es,República de Honduras;Honduras,Spanish Name,2072
8716,fr,Honduras,French Name,2072
8717,en,HN,iso-3166-2,2072
8718,en,HND,iso-3166-3,2072
8719,de,Hongkong,German Name,2073
8720,es,Hong Kong,Spanish Name,2073
8721,fr,Hong Kong,French Name,2073
8722,en,HK,iso-3166-2,2073
8723,en,HKG,iso-3166-3,2073
8724,de,Ungarn,German Name,2074
8725,es,República de Hungría;Hungría,Spanish Name,2074
8726,fr,la Hongrie;Hongrie,French Name,2074
8727,en,HU,iso-3166-2,2074
8728,en,HUN,iso-3166-3,2074
8729,de,Island,German Name,2075
8730,es,República de Islandia;Islandia,Spanish Name,2075
8731,fr,l'Islande;la République d'Islande,French Name,2075
8732,en,IS,iso-3166-2,2075
8733,en,ISL,iso-3166-3,2075
8734,de,Indien,German Name,2076
8735,es,República de la India;India,Spanish Name,2076
8736,fr,l'Inde;la République de l'Ind,French Name,2076
8737,en,IN,iso-3166-2,2076
8738,en,IND,iso-3166-3,2076
8739,de,Indonesien,German Name,2077
8740,es,República de Indonesia;Indonesia,Spanish Name,2077
8741,fr,l'Indonésie;la République d'Indonésie,French Name,2077
8742,en,ID,iso-3166-2,2077
8743,en,IDN,iso-3166-3,2077
8744,de,Islamische Republik Iran;Iran,German Name,2078
8745,es,Irán; Corrí,Spanish Name,2078
8746,fr,Iran,French Name,2078
8747,en,IR,iso-3166-2,2078
8748,en,IRN,iso-3166-3,2078
8749,de,Irak,German Name,2079
8750,es,Irak,Spanish Name,2079
8751,fr,Irak,French Name,2079
8752,en,IQ,iso-3166-2,2079
8753,en,IRQ,iso-3166-3,2079
8754,de,Irland,German Name,2080
8755,es,Irlanda,Spanish Name,2080
8756,fr,l'Irlande,French Name,2080
8757,en,IE,iso-3166-2,2080
8758,en,IRL,iso-3166-3,2080
8759,de,Insel Man,German Name,2081
8760,es,Isla de Man,Spanish Name,2081
8761,fr,Isle of Man,French Name,2081
8762,en,IM,iso-3166-2,2081
8763,en,IMN,iso-3166-3,2081
8764,de,Israel,German Name,2082
8765,es,Estado de Israel;Israel,Spanish Name,2082
8766,fr,Israël;l'État d'Israë,French Name,2082
8767,en,IL,iso-3166-2,2082
8768,en,ISR,iso-3166-3,2082
8769,de,Italien,German Name,2083
8770,es,República italiana;Italia,Spanish Name,2083
8771,fr,l'Italie;la République italienn,French Name,2083
8772,en,IT,iso-3166-2,2083
8773,en,ITA,iso-3166-3,2083
8774,de,Jamaika,German Name,2084
8775,es,Jamaica,Spanish Name,2084
8776,fr,Jamaïque,French Name,2084
8777,en,JM,iso-3166-2,2084
8778,en,JAM,iso-3166-3,2084
8779,de,Jan Mayen,German Name,2085
8780,es,Jan Mayen,Spanish Name,2085
8781,fr,L'île Jan Mayen,French Name,2085
8782,en,SJ,iso-3166-2,2085
8783,en,SJM,iso-3166-3,2085
8784,de,Japan,German Name,2086
8785,es,Estado de Japón;Japón,Spanish Name,2086
8786,fr,le Japon,French Name,2086
8787,en,JP,iso-3166-2,2086
8788,en,JPN,iso-3166-3,2086
8789,de,Jersey,German Name,2087
8790,es,Jersey,Spanish Name,2087
8791,fr,Jersey,French Name,2087
8792,en,JE,iso-3166-2,2087
8793,en,JEY,iso-3166-3,2087
8794,de,Jordanien,German Name,2088
8795,es,Reino Hachemita de Jordania;Jordania,Spanish Name,2088
8796,fr,la Jordanie;le Royaume hachémite de Jordanie,French Name,2088
8797,en,JO,iso-3166-2,2088
8798,en,JOR,iso-3166-3,2088
8799,de,Kasachstan,German Name,2089
8800,es,República de Kazajistán;Kazajistán,Spanish Name,2089
8801,fr,le Kazakhstan,French Name,2089
8802,en,KZ,iso-3166-2,2089
8803,en,KAZ,iso-3166-3,2089
8804,de,Kenya,German Name,2090
8805,es,República de Kenia;Kenia,Spanish Name,2090
8806,fr,le Kenya;la République du Kenya,French Name,2090
8807,en,KE,iso-3166-2,2090
8808,en,KEN,iso-3166-3,2090
8809,de,Kiribati,German Name,2091
8810,es,República de Kiribati;Kiribati,Spanish Name,2091
8811,fr,Kiribati,French Name,2091
8812,en,KI,iso-3166-2,2091
8813,en,KIR,iso-3166-3,2091
8814,de,Kuwait,German Name,2092
8815,es,Estado de Kuwait;Kuwait,Spanish Name,2092
8816,fr,le Koweït,French Name,2092
8817,en,KW,iso-3166-2,2092
8818,en,KWT,iso-3166-3,2092
8819,de,Kirgisistan,German Name,2093
8820,es,República Kirguisa;Kirguistán,Spanish Name,2093
8821,fr,la Kirghizie,French Name,2093
8822,en,KG,iso-3166-2,2093
8823,en,KGZ,iso-3166-3,2093
8824,de,Laos; Demokratische Volksrepublik Laos,German Name,2094
8825,es,Laos; República Democrática Popular Lao,Spanish Name,2094
8826,fr,le Laos; République démocratique populaire lao,French Name,2094
8827,en,LA,iso-3166-2,2094
8828,en,LAO,iso-3166-3,2094
8829,en,Lao People's Democratic Republic,abbreviation,2094
8830,de,Lettland,German Name,2095
8831,es,República de Letonia;Letonia,Spanish Name,2095
8832,fr,la Lettonie;la République de Lettoni,French Name,2095
8833,en,LV,iso-3166-2,2095
8834,en,LVA,iso-3166-3,2095
8835,de,Libanon,German Name,2096
8836,es,República Libanesa;Líbano,Spanish Name,2096
8837,fr,le Liban;la République libanais,French Name,2096
8838,en,LB,iso-3166-2,2096
8839,en,LBN,iso-3166-3,2096
8840,de,Lesotho,German Name,2097
8841,es,Reino de Lesoto;Lesoto,Spanish Name,2097
8842,fr,le Lesotho;le Royaume du Lesotho,French Name,2097
8843,en,LS,iso-3166-2,2097
8844,en,LSO,iso-3166-3,2097
8845,de,Liberia,German Name,2098
8846,es,República de Liberia;Liberia,Spanish Name,2098
8847,fr,le Liberia,French Name,2098
8848,en,LR,iso-3166-2,2098
8849,en,LBR,iso-3166-3,2098
8850,de,Libyen,German Name,2099
8851,es,Estado de Libia;Libia,Spanish Name,2099
8852,fr,la Libye,French Name,2099
8853,en,LY,iso-3166-2,2099
8854,en,LBY,iso-3166-3,2099
8855,de,Liechtenstein,German Name,2100
8856,es,Principado de Liechtenstein;Liechtenstein,Spanish Name,2100
8857,fr,le Liechtenstein;la Principauté du Liechtenstein,French Name,2100
8858,en,LI,iso-3166-2,2100
8859,en,LIE,iso-3166-3,2100
8860,de,Litauen,German Name,2101
8861,es,República de Lituania;Lituania,Spanish Name,2101
8862,fr,la Lituanie;la République de Lituanie,French Name,2101
8863,en,LT,iso-3166-2,2101
8864,en,LTU,iso-3166-3,2101
8865,de,Luxemburg,German Name,2102
8866,es,Gran Ducado de Luxemburgo;Luxemburgo,Spanish Name,2102
8867,fr,le Luxembourg;le Grand-Duché de Luxembourg,French Name,2102
8868,en,LU,iso-3166-2,2102
8869,en,LUX,iso-3166-3,2102
8870,de,Macao,German Name,2103
8871,es,Macao,Spanish Name,2103
8872,fr,Macao,French Name,2103
8873,en,MO,iso-3166-2,2103
8874,en,MAC,iso-3166-3,2103
8875,de,Mazedonien,German Name,2104
8876,es,Macedonia,Spanish Name,2104
8877,fr,Macédoine,French Name,2104
8878,en,MK,iso-3166-2,2104
8879,en,MKD,iso-3166-3,2104
8880,de,Madagaskar,German Name,2105
8881,es,República de Madagascar;Madagascar,Spanish Name,2105
8882,fr,Madagascar;la République de Madagasca,French Name,2105
8883,en,MG,iso-3166-2,2105
8884,en,MDG,iso-3166-3,2105
8885,de,Malawi,German Name,2106
8886,es,República de Malaui;Malaui,Spanish Name,2106
8887,fr,le Malawi;la République du Malawi,French Name,2106
8888,en,MW,iso-3166-2,2106
8889,en,MWI,iso-3166-3,2106
8890,de,Malaysia,German Name,2107
8891,es,Malasia,Spanish Name,2107
8892,fr,la Malaisie;la Fédération de Malaisie,French Name,2107
8893,en,MY,iso-3166-2,2107
8894,en,MYS,iso-3166-3,2107
8895,de,Malediven,German Name,2108
8896,es,República de las Maldivas;Maldivas,Spanish Name,2108
8897,fr,Maldives,French Name,2108
8898,en,MV,iso-3166-2,2108
8899,en,MDV,iso-3166-3,2108
8900,de,Mali,German Name,2109
8901,es,Mali,Spanish Name,2109
8902,fr,Mali,French Name,2109
8903,en,ML,iso-3166-2,2109
8904,en,MLI,iso-3166-3,2109
8905,de,Malta,German Name,2110
8906,es,República de Malta;Malta,Spanish Name,2110
8907,fr,Malte;la République de Malte,French Name,2110
8908,en,MT,iso-3166-2,2110
8909,en,MLT,iso-3166-3,2110
8910,de,Marshallinseln,German Name,2111
8911,es,República de las Islas Marshall;Islas Marshall,Spanish Name,2111
8912,fr,Iles Marshall,French Name,2111
8913,en,MH,iso-3166-2,2111
8914,en,MHL,iso-3166-3,2111
8915,de,Martinique,German Name,2112
8916,es,Martinica,Spanish Name,2112
8917,fr,Martinique,French Name,2112
8918,en,MQ,iso-3166-2,2112
8919,en,MTQ,iso-3166-3,2112
8920,de,Mauretanien,German Name,2113
8921,es,República Islámica de Mauritania;Mauritania,Spanish Name,2113
8922,fr,la Mauritanie;la République islamique de Mauritani,French Name,2113
8923,en,MR,iso-3166-2,2113
8924,en,MRT,iso-3166-3,2113
8925,de,Mauritius,German Name,2114
8926,es,Mauricio,Spanish Name,2114
8927,fr,Maurice,French Name,2114
8928,en,MU,iso-3166-2,2114
8929,en,MUS,iso-3166-3,2114
8930,de,Mayotte,German Name,2115
8931,es,Mayotte,Spanish Name,2115
8932,fr,Mayotte,French Name,2115
8933,en,YT,iso-3166-2,2115
8934,en,MYT,iso-3166-3,2115
8935,de,Mexiko,German Name,2116
8936,es,Estados Unidos Mexicanos;México,Spanish Name,2116
8937,fr,le Mexique;les États unis mexicains,French Name,2116
8938,en,MX,iso-3166-2,2116
8939,en,MEX,iso-3166-3,2116
8940,de,Moldawien;Republik Moldau,German Name,2117
8941,es,Moldavia,Spanish Name,2117
8942,fr,la Moldavie; Moldavie,French Name,2117
8943,en,MD,iso-3166-2,2117
8944,en,MDA,iso-3166-3,2117
8945,de,Monaco,German Name,2118
8946,es,Principado de Mónaco;Mónaco,Spanish Name,2118
8947,fr,Monaco;la principauté de Monaco,French Name,2118
8948,en,MC,iso-3166-2,2118
8949,en,MCO,iso-3166-3,2118
8950,de,Mongolei,German Name,2119
8951,es,Mongolia,Spanish Name,2119
8952,fr,Mongolie,French Name,2119
8953,en,MN,iso-3166-2,2119
8954,en,MNG,iso-3166-3,2119
8955,de,Montenegro,German Name,2120
8956,es,República de Montenegro;Montenegro,Spanish Name,2120
8957,fr,le Monténégro,French Name,2120
8958,en,ME,iso-3166-2,2120
8959,en,MNE,iso-3166-3,2120
8960,de,Montserrat,German Name,2121
8961,es,Montserrat,Spanish Name,2121
8962,fr,Montserrat,French Name,2121
8963,en,MS,iso-3166-2,2121
8964,en,MSR,iso-3166-3,2121
8965,de,Marokko,German Name,2122
8966,es,Reino de Marruecos;Marruecos,Spanish Name,2122
8967,fr,Maroc,French Name,2122
8968,en,MA,iso-3166-2,2122
8969,en,MAR,iso-3166-3,2122
8970,de,Mosambik,German Name,2123
8971,es,República de Mozambique;Mozambique,Spanish Name,2123
